TITLE,URL,SECTION,TOKENIZED_TITLE
How to avoid bugs using modern C++,https://cplusplus.com/articles/y807M4Gy/,articles,"['How', 'to', 'avoid', 'bugs', 'using', 'modern', 'C++']"
Learning Computer Programming Terminology,https://cplusplus.com/articles/GvRMDjzh/,articles,"['Learning', 'Computer', 'Programming', 'Terminology']"
C++ class for generate Fibonacci series,https://cplusplus.com/articles/LT75fSEw/,articles,"['C++', 'class', 'for', 'generate', 'Fibonacci', 'series']"
C++ casting,https://cplusplus.com/articles/iG3hAqkS/,articles,"['C++', 'casting']"
Safe Clearing of Private Data,https://cplusplus.com/articles/ETqpX9L8/,articles,"['Safe', 'Clearing', 'of', 'Private', 'Data']"
How I Learned A Vital Borland C++ Coding Technique I Couldn't Learn Alone,https://cplusplus.com/articles/DL86b7Xj/,articles,"['How', 'I', 'Learned', 'A', 'Vital', 'Borland', 'C++', 'Coding', 'Technique', 'I', 'Could', ""n't"", 'Learn', 'Alone']"
Sierpinski Triangle Fractal - The easiest way to produce randomness,https://cplusplus.com/articles/LyTbqMoL/,articles,"['Sierpinski', 'Triangle', 'Fractal', '-', 'The', 'easiest', 'way', 'to', 'produce', 'randomness']"
Koch Fractal - One of the easiest algorithms with graphics,https://cplusplus.com/articles/iE86b7Xj/,articles,"['Koch', 'Fractal', '-', 'One', 'of', 'the', 'easiest', 'algorithms', 'with', 'graphics']"
"10 tips to be productive in CLion, a cross-platform C/C++ IDE",https://cplusplus.com/articles/L0pk4iN6/,articles,"['10', 'tips', 'to', 'be', 'productive', 'in', 'CLion', ',', 'a', 'cross-platform', 'C/C++', 'IDE']"
Fibonacii at its best,https://cplusplus.com/articles/jT07M4Gy/,articles,"['Fibonacii', 'at', 'its', 'best']"
Null Pointer Dereferencing Causes Undefined Behavior,https://cplusplus.com/articles/LAqpX9L8/,articles,"['Null', 'Pointer', 'Dereferencing', 'Causes', 'Undefined', 'Behavior']"
Android Kernel: Lacking in Modularity,https://cplusplus.com/articles/oy6AC542/,articles,"['Android', 'Kernel', ':', 'Lacking', 'in', 'Modularity']"
"Using the Design Pattern State, for the Simple Problem of the Semaphore",https://cplusplus.com/articles/zAqpX9L8/,articles,"['Using', 'the', 'Design', 'Pattern', 'State', ',', 'for', 'the', 'Simple', 'Problem', 'of', 'the', 'Semaphore']"
"A simple OpenGL animation with glfw, step by step",https://cplusplus.com/articles/NvCRko23/,articles,"['A', 'simple', 'OpenGL', 'animation', 'with', 'glfw', ',', 'step', 'by', 'step']"
Split a String,https://cplusplus.com/articles/2wA0RXSz/,articles,"['Split', 'a', 'String']"
"Declarations, Prototypes, Definitions, and Implementations",https://cplusplus.com/articles/yAqpX9L8/,articles,"['Declarations', ',', 'Prototypes', ',', 'Definitions', ',', 'and', 'Implementations']"
Finding Skype's Default Account Name,https://cplusplus.com/articles/NT07M4Gy/,articles,"['Finding', 'Skype', ""'s"", 'Default', 'Account', 'Name']"
Virtual Method Table and accident prevention,https://cplusplus.com/articles/iy6AC542/,articles,"['Virtual', 'Method', 'Table', 'and', 'accident', 'prevention']"
Dynamically sorting both keys and values,https://cplusplus.com/articles/oE3hAqkS/,articles,"['Dynamically', 'sorting', 'both', 'keys', 'and', 'values']"
Installing and Configuring Visual C++ and GLUT,https://cplusplus.com/articles/3AqpX9L8/,articles,"['Installing', 'and', 'Configuring', 'Visual', 'C++', 'and', 'GLUT']"
How to send an SMS message from an application,https://cplusplus.com/articles/NhbCpfjN/,articles,"['How', 'to', 'send', 'an', 'SMS', 'message', 'from', 'an', 'application']"
Strings Obfuscation System,https://cplusplus.com/articles/E8vU7k9E/,articles,"['Strings', 'Obfuscation', 'System']"
A Google Docs based backup application,https://cplusplus.com/articles/L3TbqMoL/,articles,"['A', 'Google', 'Docs', 'based', 'backup', 'application']"
Topological Sort of Strings- part I,https://cplusplus.com/articles/iNwTURfi/,articles,"['Topological', 'Sort', 'of', 'Strings-', 'part', 'I']"
Borland C++ Sorting Algorithm,https://cplusplus.com/articles/Ly6AC542/,articles,"['Borland', 'C++', 'Sorting', 'Algorithm']"
StdAfx.h for Novices,https://cplusplus.com/articles/2z86b7Xj/,articles,"['StdAfx.h', 'for', 'Novices']"
Auxiliarry Carry & Parity Detector,https://cplusplus.com/articles/y8vU7k9E/,articles,"['Auxiliarry', 'Carry', '&', 'Parity', 'Detector']"
The Element Project (v2),https://cplusplus.com/articles/z1hv0pDG/,articles,"['The', 'Element', 'Project', '(', 'v2', ')']"
The Last Line Effect,https://cplusplus.com/articles/Lz86b7Xj/,articles,"['The', 'Last', 'Line', 'Effect']"
IsItQt to check if a program is Qt-based and which version Qt was used,https://cplusplus.com/articles/y3TbqMoL/,articles,"['IsItQt', 'to', 'check', 'if', 'a', 'program', 'is', 'Qt-based', 'and', 'which', 'version', 'Qt', 'was', 'used']"
What is C++ inline functions,https://cplusplus.com/articles/2LywvCM9/,articles,"['What', 'is', 'C++', 'inline', 'functions']"
An open source C++ lightweight & cross platform log library: Log4z,https://cplusplus.com/articles/L0RMDjzh/,articles,"['An', 'open', 'source', 'C++', 'lightweight', '&', 'cross', 'platform', 'log', 'library', ':', 'Log4z']"
PowerBall Lottery Simulator Revamped,https://cplusplus.com/articles/17Mf92yv/,articles,"['PowerBall', 'Lottery', 'Simulator', 'Revamped']"
